"parkingSpaces","size","alarmSystem","gameRoom","furnished","securityCabin","pipedGas","propertyPrice","playGround","swimmingPool","barbecueGrill","score","latitude","longitude","bedrooms","monthlyFees","rentalPrice","propertyType","steamRoom","gym","neighborhood","id","suites","permanentDoorman","m2RentalPrice","link"
1,80,"False","False","False","False","False",0,"False","False","False",118,-19.9372244,-43.9182056,3,300,1100,"apartamento","False","False","serra",691351,1,"False",13.75,"https://www.netimoveis.com/imovel/dummy/691351"
1,65,"False","False","False","False","True",410000,"False","False","False",118,-19.944253,-43.9488501,2,651.95,1200,"apartamento","False","False","cidade-jardim",507040,0,"True",18.4615384615385,"https://www.netimoveis.com/imovel/dummy/507040"
1,65,"False","False","False","False","True",410000,"False","False","False",118,-19.944253,-43.9488501,2,651.95,1200,"apartamento","False","False","coracao-de-jesus",507040,0,"True",18.4615384615385,"https://www.netimoveis.com/imovel/dummy/507040"
1,51.68,"False","False","False","False","False",0,"False","False","False",118,-19.9017733,-43.9144808,2,300,1200,"apartamento","False","False","sagrada-familia",551917,0,"False",23.2198142414861,"https://www.netimoveis.com/imovel/dummy/551917"
1,47,"False","False","False","False","False",0,"False","False","False",118,-19.9318007,-43.9311639,1,675,1200,"apartamento","False","False","funcionarios",604081,0,"True",25.531914893617,"https://www.netimoveis.com/imovel/dummy/604081"
1,47,"False","False","False","False","False",0,"False","False","False",118,-19.9318007,-43.9311639,1,675,1200,"apartamento","False","False","savassi",604081,0,"True",25.531914893617,"https://www.netimoveis.com/imovel/dummy/604081"
1,93,"False","False","False","True","True",440000,"True","True","True",118,-19.9104341,-43.9268978,3,885,1200,"apartamento","True","False","floresta",700446,1,"True",12.9032258064516,"https://www.netimoveis.com/imovel/dummy/700446"
1,54,"False","False","False","False","True",0,"False","False","False",118,-19.920951,-43.95886,2,295,1250,"apartamento","False","False","calafate",578696,0,"True",23.1481481481481,"https://www.netimoveis.com/imovel/dummy/578696"
1,54,"False","False","False","False","True",0,"False","False","False",118,-19.920951,-43.95886,2,295,1250,"apartamento","False","False","prado",578696,0,"True",23.1481481481481,"https://www.netimoveis.com/imovel/dummy/578696"
1,120,"False","False","False","False","True",0,"False","False","False",118,-19.945336,-43.950653,3,423.11,1280,"apartamento","False","False","cidade-jardim",524957,1,"False",10.6666666666667,"https://www.netimoveis.com/imovel/dummy/524957"
